#         t          x          y          z         vx         vy         vz
      0.000    -98.440   -120.010   -127.750    -27.700    174.120     92.490
      0.010    -98.714   -118.265   -126.821    -27.008    174.956     93.386
      0.020    -98.980   -116.511   -125.882    -26.301    175.796     94.294
      0.030    -99.239   -114.749   -124.935    -25.578    176.640     95.212
      0.040    -99.492   -112.978   -123.978    -24.839    177.487     96.141
      0.050    -99.736   -111.199   -123.012    -24.083    178.337     97.082
      0.060    -99.973   -109.411   -122.036    -23.309    179.192     98.035
      0.070   -100.202   -107.615   -121.051    -22.518    180.049     98.999
      0.080   -100.423   -105.810   -120.056    -21.709    180.910     99.975
      0.090   -100.636   -103.997   -119.051    -20.881    181.774    100.964
      0.100   -100.841   -102.175   -118.037    -20.034    182.641    101.965
      0.110   -101.037   -100.344   -117.012    -19.167    183.511    102.978
      0.120   -101.224    -98.505   -115.977    -18.279    184.383    104.005
      0.130   -101.402    -96.656   -114.932    -17.371    185.258    105.044
      0.140   -101.571    -94.799   -113.876    -16.441    186.136    106.097
      0.150   -101.731    -92.934   -112.810    -15.488    187.015    107.164
      0.160   -101.881    -91.059   -111.733    -14.513    187.897    108.244
      0.170   -102.021    -89.176   -110.645    -13.514    188.780    109.338
      0.180   -102.151    -87.283   -109.546    -12.490    189.665    110.447
      0.190   -102.271    -85.382   -108.436    -11.441    190.550    111.570
      0.200   -102.380    -83.472   -107.315    -10.367    191.437    112.708
      0.210   -102.478    -81.554   -106.182     -9.266    192.324    113.861
      0.220   -102.565    -79.626   -105.037     -8.137    193.211    115.029
      0.230   -102.641    -77.689   -103.881     -6.980    194.098    116.212
      0.240   -102.705    -75.744   -102.713     -5.794    194.985    117.412
      0.250   -102.756    -73.790   -101.533     -4.577    195.870    118.627
      0.260   -102.796    -71.827   -100.340     -3.330    196.754    119.858
      0.270   -102.823    -69.855    -99.136     -2.050    197.635    121.106
      0.280   -102.837    -67.874    -97.918     -0.738    198.514    122.370
      0.290   -102.837    -65.884    -96.688      0.609    199.390    123.651
      0.300   -102.824    -63.886    -95.445      1.991    200.262    124.948
      0.310   -102.797    -61.879    -94.189      3.409    201.130    126.263
      0.320   -102.756    -59.864    -92.920      4.865    201.992    127.596
      0.330   -102.700    -57.839    -91.637      6.359    202.848    128.945
      0.340   -102.629    -55.807    -90.341      7.893    203.697    130.313
      0.350   -102.542    -53.765    -89.031      9.468    204.538    131.698
      0.360   -102.439    -51.716    -87.707     11.086    205.370    133.101
      0.370   -102.320    -49.658    -86.369     12.747    206.193    134.521
      0.380   -102.184    -47.592    -85.016     14.453    207.004    135.960
      0.390   -102.031    -45.518    -83.649     16.205    207.803    137.417
      0.400   -101.860    -43.436    -82.268     18.006    208.589    138.891
      0.410   -101.670    -41.346    -80.871     19.855    209.359    140.383
      0.420   -101.462    -39.249    -79.460     21.756    210.113    141.894
      0.430   -101.235    -37.144    -78.033     23.709    210.849    143.421
      0.440   -100.988    -35.032    -76.591     25.715    211.565    144.966
      0.450   -100.720    -32.913    -75.134     27.777    212.260    146.529
      0.460   -100.432    -30.787    -73.661     29.896    212.931    148.108
      0.470   -100.122    -28.655    -72.172     32.073    213.576    149.703
      0.480    -99.790    -26.516    -70.667     34.310    214.193    151.314
      0.490    -99.436    -24.371    -69.145     36.609    214.781    152.941
      0.500    -99.058    -22.220    -67.608     38.971    215.335    154.582
      0.510    -98.656    -20.064    -66.054     41.398    215.854    156.237
      0.520    -98.229    -17.903    -64.483     43.892    216.335    157.904
      0.530    -97.778    -15.738    -62.896     46.453    216.774    159.584
      0.540    -97.300    -13.568    -61.291     49.083    217.170    161.274
      0.550    -96.796    -11.395    -59.670     51.783    217.517    162.974
      0.560    -96.264     -9.218    -58.032     54.556    217.813    164.681
      0.570    -95.704     -7.039    -56.376     57.401    218.054    166.395
      0.580    -95.116     -4.857    -54.704     60.320    218.236    168.113
      0.590    -94.497     -2.674    -53.014     63.313    218.355    169.833
      0.600    -93.849     -0.490    -51.307     66.382    218.406    171.552
      0.610    -93.169      1.693    -49.583     69.527    218.386    173.270
      0.620    -92.458      3.877    -47.842     72.747    218.289    174.982
      0.630    -91.714      6.059    -46.083     76.043    218.112    176.686
      0.640    -90.937      8.239    -44.308     79.414    217.848    178.378
      0.650    -90.125     10.415    -42.516     82.860    217.493    180.055
      0.660    -89.279     12.588    -40.707     86.379    217.041    181.713
      0.670    -88.398     14.756    -38.882     89.970    216.489    183.348
      0.680    -87.480     16.917    -37.040     93.630    215.830    184.955
      0.690    -86.525     19.072    -35.183     97.357    215.059    186.531
      0.700    -85.532     21.218    -33.310    101.147    214.171    188.070
      0.710    -84.501     23.355    -31.422    104.997    213.162    189.566
      0.720    -83.432     25.480    -29.519    108.903    212.026    191.016
      0.730    -82.323     27.594    -27.602    112.859    210.760    192.412
      0.740    -81.174     29.695    -25.671    116.859    209.358    193.750
      0.750    -79.986     31.781    -23.727    120.897    207.818    195.023
      0.760    -78.756     33.851    -21.771    124.966    206.135    196.226
      0.770    -77.486     35.903    -19.803    129.058    204.309    197.353
      0.780    -76.175     37.936    -17.824    133.164    202.335    198.397
      0.790    -74.823     39.949    -15.835    137.276    200.214    199.353
      0.800    -73.430     41.940    -13.838    141.384    197.946    200.217
      0.810    -71.995     43.907    -11.832    145.477    195.529    200.981
      0.820    -70.520     45.849     -9.818    149.545    192.967    201.642
      0.830    -69.005     47.766     -7.799    153.578    190.261    202.194
      0.840    -67.449     49.654     -5.775    157.564    187.416    202.635
      0.850    -65.854     51.513     -3.747    161.492    184.435    202.959
      0.860    -64.219     53.342     -1.717    165.351    181.324    203.164
      0.870    -62.547     55.139      0.315    169.130    178.090    203.233
      0.880    -60.837     56.903      2.347    172.816    174.742    203.116
      0.890    -59.091     58.633      4.377    176.398    171.291    202.871
      0.900    -57.310     60.329      6.404    179.867    167.746    202.505
      0.910    -55.495     61.988      8.427    183.214    164.117    202.020
      0.920    -53.646     63.611     10.444    186.432    160.414    201.419
      0.930    -51.767     65.196     12.454    189.515    156.647    200.705
      0.940    -49.857     66.743     14.457    192.457    152.826    199.883
      0.950    -47.918     68.252     16.452    195.255    148.963    198.956
      0.960    -45.952     69.722     18.436    197.905    145.068    197.929
      0.970    -43.961     71.153     20.410    200.405    141.151    196.808
      0.980    -41.945     72.545     22.372    202.754    137.222    195.598
      0.990    -39.906     73.898     24.321    204.952    133.291    194.306
      1.000    -37.847     75.211     26.257    206.998    129.366    192.937
      1.010    -35.767     76.485     28.180    208.896    125.456    191.497
      1.020    -33.670     77.720     30.087    210.646    121.569    189.993
      1.030    -31.555     78.917     31.979    212.252    117.713    188.431
      1.040    -29.425     80.075     33.855    213.717    113.893    186.816
      1.050    -27.281     81.195     35.715    215.045    110.116    185.154
      1.060    -25.125     82.277     37.558    216.240    106.387    183.452
      1.070    -22.957     83.323     39.384    217.307    102.712    181.714
      1.080    -20.779     84.332     41.192    218.251     99.092    179.946
      1.090    -18.593     85.305     42.983    219.077     95.534    178.152
      1.100    -16.398     86.243     44.755    219.790     92.038    176.337
      1.110    -14.198     87.146     46.510    220.396     88.608    174.506
      1.120    -11.991     88.015     48.245    220.898     85.246    172.663
      1.130     -9.780     88.851     49.963    221.304     81.953    170.810
      1.140     -7.565     89.655     51.662    221.617     78.730    168.952
      1.150     -5.348     90.426     53.342    221.843     75.577    167.092
      1.160     -3.129     91.167     55.003    221.987     72.496    165.233
      1.170     -0.909     91.877     56.647    222.053     69.486    163.377
      1.180      1.312     92.557     58.271    222.047     66.548    161.526
      1.190      3.532     93.208     59.877    221.972     63.680    159.683
      1.200      5.751     93.831     61.465    221.833     60.882    157.850
      1.210      7.968     94.426     63.034    221.634     58.153    156.028
      1.220     10.183     94.994     64.585    221.379     55.493    154.219
      1.230     12.396     95.536     66.119    221.072     52.900    152.424
      1.240     14.604     96.052     67.634    220.716     50.373    150.645
      1.250     16.810     96.544     69.132    220.315     47.912    148.882
      1.260     19.011     97.011     70.612    219.871     45.514    147.137
      1.270     21.207     97.454     72.074    219.388     43.178    145.409
      1.280     23.398     97.875     73.520    218.868     40.903    143.700
      1.290     25.584     98.273     74.949    218.315     38.688    142.011
      1.300     27.764     98.649     76.360    217.730     36.530    140.341
      1.310     29.938     99.004     77.755    217.117     34.429    138.691
      1.320     32.106     99.338     79.134    216.477     32.384    137.061
      1.330     34.268     99.652     80.497    215.813     30.391    135.452
      1.340     36.423     99.946     81.843    215.126     28.451    133.863
      1.350     38.570    100.221     83.174    214.418     26.562    132.296
      1.360     40.711    100.477     84.489    213.691     24.722    130.749
      1.370     42.844    100.716     85.789    212.947     22.930    129.222
      1.380     44.970    100.936     87.074    212.187     21.184    127.717
      1.390     47.088    101.140     88.344    211.412     19.484    126.232
      1.400     49.198    101.326     89.599    210.624     17.827    124.767
      1.410     51.300    101.496     90.839    209.824     16.213    123.323
      1.420     53.394    101.651     92.065    209.014     14.641    121.899
      1.430     55.480    101.789     93.277    208.194     13.108    120.495
      1.440     57.558    101.913     94.475    207.365     11.615    119.111
      1.450     59.628    102.022     95.659    206.528     10.159    117.746
      1.460     61.689    102.116     96.830    205.685      8.739    116.400
      1.470     63.741    102.197     97.988    204.835      7.355    115.074
      1.480     65.785    102.264     99.132    203.980      6.006    113.766
      1.490     67.821    102.317    100.263    203.121      4.690    112.477
      1.500     69.848    102.358    101.381    202.257      3.406    111.206
      1.510     71.866    102.385    102.487    201.391      2.154    109.953
      1.520     73.876    102.401    103.581    200.521      0.933    108.718
      1.530     75.876    102.404    104.662    199.650     -0.260    107.500
      1.540     77.869    102.396    105.731    198.776     -1.423    106.300
      1.550     79.852    102.376    106.788    197.902     -2.559    105.116
      1.560     81.827    102.345    107.833    197.026     -3.667    103.948
      1.570     83.792    102.303    108.867    196.150     -4.749    102.797
      1.580     85.750    102.250    109.889    195.274     -5.806    101.662
      1.590     87.698    102.187    110.900    194.399     -6.838    100.542
      1.600     89.638    102.113    111.900    193.524     -7.846     99.438
      1.610     91.568    102.030    112.889    192.649     -8.831     98.349
      1.620     93.491    101.937    113.867    191.776     -9.793     97.275
      1.630     95.404    101.834    114.834    190.905    -10.734     96.215
      1.640     97.309    101.722    115.791    190.035    -11.653     95.170
      1.650     99.205    101.601    116.738    189.167    -12.551     94.138
      1.660    101.092    101.471    117.674    188.301    -13.429     93.121
      1.670    102.971    101.333    118.600    187.437    -14.287     92.117
      1.680    104.841    101.186    119.517    186.576    -15.126     91.126
      1.690    106.702    101.030    120.423    185.717    -15.947     90.148
      1.700    108.555    100.867    121.320    184.861    -16.750     89.183
      1.710    110.399    100.695    122.207    184.008    -17.536     88.231
      1.720    112.235    100.516    123.084    183.158    -18.304     87.290
      1.730    114.063    100.329    123.953    182.311    -19.056     86.362
      1.740    115.882    100.135    124.812    181.467    -19.792     85.446
      1.750    117.692     99.934    125.662    180.626    -20.512     84.541
      1.760    119.494     99.725    126.503    179.789    -21.216     83.648
      1.770    121.288     99.509    127.335    178.955    -21.906     82.765
      1.780    123.073     99.287    128.158    178.125    -22.582     81.894
      1.790    124.850     99.058    128.973    177.298    -23.243     81.034
      1.800    126.619     98.822    129.779    176.475    -23.891     80.184
      1.810    128.380     98.580    130.576    175.655    -24.525     79.344
      1.820    130.132     98.332    131.366    174.839    -25.147     78.515
      1.830    131.877     98.077    132.147    174.027    -25.756     77.695
      1.840    133.613     97.817    132.920    173.219    -26.352     76.885
      1.850    135.341     97.550    133.684    172.415    -26.936     76.085
      1.860    137.061     97.278    134.441    171.614    -27.509     75.295
      1.870    138.773     97.000    135.190    170.817    -28.070     74.513
      1.880    140.477     96.717    135.932    170.024    -28.620     73.741
      1.890    142.174     96.428    136.665    169.235    -29.159     72.978
      1.900    143.862     96.133    137.391    168.450    -29.688     72.223
      1.910    145.543     95.834    138.110    167.669    -30.206     71.477
      1.920    147.216     95.529    138.821    166.892    -30.714     70.739
      1.930    148.881     95.220    139.525    166.118    -31.213     70.010
      1.940    150.538     94.905    140.221    165.349    -31.701     69.289
      1.950    152.188     94.586    140.910    164.583    -32.180     68.575
      1.960    153.830     94.262    141.593    163.821    -32.650     67.870
      1.970    155.464     93.933    142.268    163.063    -33.112     67.172
      1.980    157.091     93.599    142.936    162.309    -33.564     66.482
      1.990    158.710     93.261    143.597    161.559    -34.008     65.800
      2.000    160.322     92.919    144.252    160.813    -34.443     65.124
      2.010    161.927     92.573    144.900    160.071    -34.871     64.456
      2.020    163.524     92.222    145.541    159.332    -35.290     63.795
      2.030    165.113     91.867    146.176    158.597    -35.702     63.141
      2.040    166.696     91.508    146.804    157.866    -36.106     62.494
      2.050    168.271     91.145    147.426    157.139    -36.502     61.853
      2.060    169.838     90.778    148.041    156.416    -36.891     61.219
      2.070    171.399     90.407    148.650    155.696    -37.274     60.591
      2.080    172.952     90.032    149.253    154.980    -37.649     59.970
      2.090    174.499     89.654    149.850    154.268    -38.017     59.355
      2.100    176.038     89.272    150.440    153.559    -38.379     58.746
      2.110    177.570     88.887    151.025    152.854    -38.734     58.144
      2.120    179.095     88.497    151.603    152.153    -39.083     57.547
      2.130    180.613     88.105    152.176    151.455    -39.425     56.956
      2.140    182.124     87.709    152.742    150.761    -39.762     56.371
      2.150    183.628     87.310    153.303    150.070    -40.092     55.791
      2.160    185.125     86.907    153.858    149.383    -40.417     55.217
      2.170    186.616     86.501    154.407    148.699    -40.736     54.649
      2.180    188.099     86.092    154.951    148.019    -41.049     54.086
      2.190    189.576     85.680    155.489    147.342    -41.357     53.528
      2.200    191.046     85.265    156.022    146.669    -41.659     52.976
      2.210    192.510     84.847    156.549    145.999    -41.956     52.428
      2.220    193.966     84.426    157.070    145.333    -42.248     51.886
      2.230    195.416     84.002    157.586    144.670    -42.535     51.349
      2.240    196.860     83.576    158.097    144.010    -42.817     50.816
      2.250    198.296     83.146    158.603    143.353    -43.094     50.289
      2.260    199.727     82.714    159.103    142.700    -43.366     49.766
      2.270    201.150     82.279    159.598    142.050    -43.634     49.248
      2.280    202.568     81.841    160.088    141.403    -43.897     48.734
      2.290    203.978     81.401    160.573    140.759    -44.155     48.225
